id_city,id_reg,id_dep,city_name,dens_pop,density_degree,density_type,total_pop_2019,no_commute_pop,work_commute_perc
57395,44,57,Lesse,24.46,6,"Rural à habitat dispersé",204,30,85.2941
57396,44,57,Lessy,258.25,4,"Ceintures urbaines",736,20,97.2826
57397,44,57,Ley,16.64,6,"Rural à habitat dispersé",102,10.5155,89.6907
57398,44,57,Leyviller,69.24,5,"Bourgs ruraux",502,39.6838,92.0949
57399,44,57,Lezey,12.52,6,"Rural à habitat dispersé",94,5.16483,94.5055
57401,44,57,Lidrezing,8.47,6,"Rural à habitat dispersé",85,5,94.1176
57402,44,57,Liederschiedt,20.03,6,"Rural à habitat dispersé",120,14.4,88
57403,44,57,Liéhon,22.86,6,"Rural à habitat dispersé",123,5,95.935
57404,44,57,Lindre-Basse,25.24,6,"Rural à habitat dispersé",209,10.043,95.1947
57405,44,57,Lindre-Haute,21.54,7,"Rural à habitat très dispersé",53,NULL,NULL
57406,44,57,Liocourt,43.53,6,"Rural à habitat dispersé",138,15.2206,88.9706
57407,44,57,Lixheim,149.24,5,"Bourgs ruraux",591,15.2586,97.4182
57408,44,57,Lixing-lès-Rouhling,207.82,4,"Ceintures urbaines",877,20.7084,97.6387
57409,44,57,Lixing-lès-Saint-Avold,106.49,5,"Bourgs ruraux",673,34.8258,94.8253
57410,44,57,Lhor,25.37,6,"Rural à habitat dispersé",137,10,92.7007
57411,44,57,Lommerange,41.91,6,"Rural à habitat dispersé",334,10,97.006
57412,44,57,Longeville-lès-Metz,1459.41,1,"Grands centres urbains",3955,170,95.7016
57413,44,57,Longeville-lès-Saint-Avold,148.78,5,"Bourgs ruraux",3651,421.998,88.4416
57414,44,57,Lorquin,130.79,5,"Bourgs ruraux",1147,180,84.3069
57415,44,57,Lorry-lès-Metz,287.03,4,"Ceintures urbaines",1748,74.5342,95.736
57416,44,57,Lorry-Mardigny,57.83,6,"Rural à habitat dispersé",657,26.3927,95.9828
57417,44,57,Lostroff,13.71,6,"Rural à habitat dispersé",68,9.85507,85.5072
57418,44,57,Loudrefing,14,6,"Rural à habitat dispersé",322,24.9938,92.238
57419,44,57,Loupershouse,116.95,5,"Bourgs ruraux",904,29.9055,96.6919
57421,44,57,Loutzviller,47.52,6,"Rural à habitat dispersé",153,5.06623,96.6887
57422,44,57,Louvigny,55.63,5,"Bourgs ruraux",880,55,93.75
57423,44,57,Lubécourt,21.74,7,"Rural à habitat très dispersé",75,NULL,NULL
57424,44,57,Lucy,31.66,6,"Rural à habitat dispersé",233,5.10965,97.807
57425,44,57,Luppy,35.24,6,"Rural à habitat dispersé",573,35.0556,93.8821
57426,44,57,Luttange,69.84,5,"Bourgs ruraux",896,41.341,95.386
57427,44,57,Lutzelbourg,97.26,5,"Bourgs ruraux",568,49.8591,91.222
57428,44,57,Macheren,162.42,4,"Ceintures urbaines",2753,164.873,94.0111
57430,44,57,Mainvillers,49.25,6,"Rural à habitat dispersé",330,30.2752,90.8257
57431,44,57,Maizeroy,45.93,6,"Rural à habitat dispersé",401,20,95.0125
57433,44,57,Maizières-lès-Metz,1322.9,2,"Centres urbains intermédiaires",11668,845.057,92.7575
57434,44,57,Maizières-lès-Vic,18.78,6,"Rural à habitat dispersé",488,46.2548,90.5216
57436,44,57,Malaucourt-sur-Seille,17.71,6,"Rural à habitat dispersé",127,9.84496,92.2481
57437,44,57,Malling,142.76,6,"Rural à habitat dispersé",631,26.6604,95.7749
57438,44,57,Malroy,98.31,6,"Rural à habitat dispersé",348,15.2731,95.6112
57439,44,57,Manderen-Ritzing,39.95,6,"Rural à habitat dispersé",602,67.5937,88.7718
57440,44,57,Manhoué,34.63,6,"Rural à habitat dispersé",142,25,82.3944
57441,44,57,Manom,280.56,4,"Ceintures urbaines",2915,164.334,94.3625
57442,44,57,Many,29.44,6,"Rural à habitat dispersé",242,9.10771,96.2365
57443,44,57,Marange-Silvange,423.75,4,"Ceintures urbaines",6458,380,94.1158
57444,44,57,Marange-Zondrange,42.39,6,"Rural à habitat dispersé",351,30.6763,91.2603
57445,44,57,Marieulles,85.59,6,"Rural à habitat dispersé",701,40.228,94.2613
57446,44,57,Marimont-lès-Bénestroff,10.28,7,"Rural à habitat très dispersé",41,NULL,NULL
57447,44,57,Marly,935.93,4,"Ceintures urbaines",10108,629.658,93.7707
57448,44,57,Marsal,23.13,6,"Rural à habitat dispersé",257,20.9796,91.8367
57449,44,57,Marsilly,185.71,5,"Bourgs ruraux",598,33.8289,94.343
57451,44,57,Marthille,16.47,6,"Rural à habitat dispersé",168,19.422,88.4393
57452,44,57,"La Maxe",133.91,6,"Rural à habitat dispersé",1011,30,97.0326
57453,44,57,Maxstadt,37.67,6,"Rural à habitat dispersé",298,10,96.6443
57454,44,57,Mécleuves,88.43,6,"Rural à habitat dispersé",1139,34.6593,96.957
57455,44,57,Mégange,30.04,6,"Rural à habitat dispersé",149,15.6294,89.5105
57456,44,57,Meisenthal,105.97,6,"Rural à habitat dispersé",674,55.997,91.6918
57457,44,57,Menskirch,31.03,6,"Rural à habitat dispersé",139,4.96429,96.4286
57459,44,57,Merschweiller,49.65,6,"Rural à habitat dispersé",286,23.0645,91.9355
57460,44,57,Merten,283.17,5,"Bourgs ruraux",1481,68.022,95.407
57461,44,57,Métairies-Saint-Quirin,28.53,6,"Rural à habitat dispersé",273,14.837,94.5652
57462,44,57,Metting,80.42,6,"Rural à habitat dispersé",419,10.1521,97.5771
57463,44,57,Metz,2825.2,1,"Grands centres urbains",118489,28339.8,76.0824
57464,44,57,Metzeresche,101.26,5,"Bourgs ruraux",968,29.6933,96.9325
57465,44,57,Metzervisse,251.84,5,"Bourgs ruraux",2264,110,95.1413
57466,44,57,Metzing,102.17,5,"Bourgs ruraux",659,25,96.2064
