,id_city,city_name,density_degree,density_type,total_pop_2019
291,01345,Saint-Denis-en-Bugey,4,Ceintures urbaines,2266
292,01346,Saint-Didier-d'Aussiat,6,Rural à habitat dispersé,858
293,01347,Saint-Didier-de-Formans,4,Ceintures urbaines,2035
294,01348,Saint-Didier-sur-Chalaronne,5,Bourgs ruraux,2938
295,01349,Saint-Éloi,6,Rural à habitat dispersé,503
296,01350,Saint-Étienne-du-Bois,6,Rural à habitat dispersé,2542
297,01351,Saint-Étienne-sur-Chalaronne,5,Bourgs ruraux,1571
298,01352,Saint-Étienne-sur-Reyssouze,6,Rural à habitat dispersé,583
299,01353,Sainte-Euphémie,4,Ceintures urbaines,1700
300,01354,Saint-Genis-Pouilly,2,Centres urbains intermédiaires,13943
301,01355,Saint-Genis-sur-Menthon,6,Rural à habitat dispersé,486
302,01356,Saint-Georges-sur-Renon,6,Rural à habitat dispersé,208
303,01357,Saint-Germain-de-Joux,6,Rural à habitat dispersé,502
304,01358,Saint-Germain-les-Paroisses,6,Rural à habitat dispersé,429
305,01359,Saint-Germain-sur-Renon,6,Rural à habitat dispersé,246
306,01360,Saint-Jean-de-Gonville,4,Ceintures urbaines,1895
307,01361,Saint-Jean-de-Niost,5,Bourgs ruraux,1577
308,01362,Saint-Jean-de-Thurigneux,6,Rural à habitat dispersé,786
309,01363,Saint-Jean-le-Vieux,5,Bourgs ruraux,1772
310,01364,Saint-Jean-sur-Reyssouze,7,Rural à habitat très dispersé,756
311,01365,Saint-Jean-sur-Veyle,6,Rural à habitat dispersé,1162
312,01366,Sainte-Julie,5,Bourgs ruraux,1082
313,01367,Saint-Julien-sur-Reyssouze,6,Rural à habitat dispersé,746
314,01368,Saint-Julien-sur-Veyle,6,Rural à habitat dispersé,838
315,01369,Saint-Just,5,Bourgs ruraux,942
316,01370,Saint-Laurent-sur-Saône,2,Centres urbains intermédiaires,1688
317,01371,Saint-Marcel,5,Bourgs ruraux,1242
318,01372,Saint-Martin-de-Bavel,6,Rural à habitat dispersé,444
319,01373,Saint-Martin-du-Frêne,5,Bourgs ruraux,1023
320,01374,Saint-Martin-du-Mont,6,Rural à habitat dispersé,1871
321,01375,Saint-Martin-le-Châtel,6,Rural à habitat dispersé,782
322,01376,Saint-Maurice-de-Beynost,2,Centres urbains intermédiaires,3962
323,01378,Saint-Maurice-de-Gourdans,5,Bourgs ruraux,2645
324,01379,Saint-Maurice-de-Rémens,6,Rural à habitat dispersé,760
325,01380,Saint-Nizier-le-Bouchoux,7,Rural à habitat très dispersé,632
326,01381,Saint-Nizier-le-Désert,6,Rural à habitat dispersé,921
327,01382,Sainte-Olive,6,Rural à habitat dispersé,279
328,01383,Saint-Paul-de-Varax,5,Bourgs ruraux,1562
329,01384,Saint-Rambert-en-Bugey,5,Bourgs ruraux,2188
330,01385,Saint-Rémy,5,Bourgs ruraux,985
331,01386,Saint-Sorlin-en-Bugey,3,Petites villes,1127
332,01387,Saint-Sulpice,6,Rural à habitat dispersé,256
333,01388,Saint-Trivier-de-Courtes,5,Bourgs ruraux,1102
334,01389,Saint-Trivier-sur-Moignans,5,Bourgs ruraux,1834
335,01390,Saint-Vulbas,6,Rural à habitat dispersé,1246
336,01391,Salavre,7,Rural à habitat très dispersé,271
337,01392,Samognat,6,Rural à habitat dispersé,656
338,01393,Sandrans,6,Rural à habitat dispersé,544
339,01396,Sault-Brénaz,6,Rural à habitat dispersé,977
340,01397,Sauverny,4,Ceintures urbaines,978
341,01398,Savigneux,5,Bourgs ruraux,1421
342,01399,Ségny,4,Ceintures urbaines,2107
343,01400,Seillonnaz,7,Rural à habitat très dispersé,139
344,01401,Sergy,4,Ceintures urbaines,2167
345,01402,Sermoyer,6,Rural à habitat dispersé,652
346,01403,Serrières-de-Briord,5,Bourgs ruraux,1295
347,01404,Serrières-sur-Ain,7,Rural à habitat très dispersé,135
348,01405,Servas,5,Bourgs ruraux,1280
349,01406,Servignat,7,Rural à habitat très dispersé,174
350,01407,Seyssel,5,Bourgs ruraux,1002
351,01408,Simandre-sur-Suran,6,Rural à habitat dispersé,661
352,01410,Sonthonnax-la-Montagne,6,Rural à habitat dispersé,300
353,01411,Souclin,6,Rural à habitat dispersé,273
354,01412,Sulignat,6,Rural à habitat dispersé,595
355,01415,Talissieu,6,Rural à habitat dispersé,499
356,01416,Tenay,5,Bourgs ruraux,1014
357,01418,Thil,5,Bourgs ruraux,1087
358,01419,Thoiry,4,Ceintures urbaines,6021
359,01420,Thoissey,5,Bourgs ruraux,1690
360,01421,Torcieu,6,Rural à habitat dispersé,729
361,01422,Tossiat,5,Bourgs ruraux,1355
362,01423,Toussieux,4,Ceintures urbaines,1124
363,01424,Tramoyes,5,Bourgs ruraux,1776
364,01425,La Tranclière,6,Rural à habitat dispersé,288
365,01426,Val-Revermont,6,Rural à habitat dispersé,2538
366,01427,Trévoux,4,Ceintures urbaines,6920
367,01428,Valeins,6,Rural à habitat dispersé,126
368,01429,Vandeins,6,Rural à habitat dispersé,707
369,01430,Varambon,6,Rural à habitat dispersé,619
370,01431,Vaux-en-Bugey,4,Ceintures urbaines,1227
371,01432,Verjon,6,Rural à habitat dispersé,323
372,01433,Vernoux,6,Rural à habitat dispersé,313
373,01434,Versailleux,6,Rural à habitat dispersé,472
374,01435,Versonnex,4,Ceintures urbaines,2157
375,01436,Vesancy,4,Ceintures urbaines,481
376,01437,Vescours,7,Rural à habitat très dispersé,223
377,01439,Vésines,6,Rural à habitat dispersé,99
378,01441,Vieu-d'Izenave,6,Rural à habitat dispersé,734
379,01443,Villars-les-Dombes,5,Bourgs ruraux,4978
380,01444,Villebois,6,Rural à habitat dispersé,1196
381,01445,Villemotier,6,Rural à habitat dispersé,615
382,01446,Villeneuve,5,Bourgs ruraux,1548
383,01447,Villereversure,6,Rural à habitat dispersé,1342
384,01448,Villes,6,Rural à habitat dispersé,389
385,01449,Villette-sur-Ain,5,Bourgs ruraux,759
386,01450,Villieu-Loyes-Mollon,4,Ceintures urbaines,3717
387,01451,Viriat,5,Bourgs ruraux,6595
388,01452,Virieu-le-Grand,6,Rural à habitat dispersé,1132
389,01453,Arvière-en-Valromey,6,Rural à habitat dispersé,710
390,01454,Virignin,5,Bourgs ruraux,1112
391,01456,Vongnes,6,Rural à habitat dispersé,71
392,01457,Vonnas,5,Bourgs ruraux,3181
393,02001,Abbécourt,4,Ceintures urbaines,502
394,02002,Achery,6,Rural à habitat dispersé,610
395,02003,Acy,5,Bourgs ruraux,1021
396,02004,Agnicourt-et-Séchelles,6,Rural à habitat dispersé,182
397,02005,Aguilcourt,6,Rural à habitat dispersé,380
