journey_id,time,journey_start_lon,journey_start_lat,cluster
7723629,16:40:00,2.798,49.036,16
7726021,16:40:00,2.327,48.816,11
7722631,16:40:00,2.351,48.814,11
7743617,16:40:00,2.363,48.76,1
7743481,16:40:00,2.694,48.537,24
7743666,16:40:00,2.559,48.962,18
7722688,16:40:00,2.477,48.862,27
7745432,16:40:00,2.327,48.842,11
7745430,16:40:00,2.327,48.842,11
7743059,16:40:00,2.312,48.816,11
7724399,16:40:00,2.342,48.929,25
7724231,16:40:00,2.342,48.929,25
7744212,16:40:00,2.549,48.841,6
7744083,16:40:00,2.364,48.905,25
7722610,16:40:00,2.402,48.816,11
7723970,16:40:00,2.398,48.771,1
7723916,16:40:00,2.398,48.771,1
7722737,16:40:00,2.651,48.605,24
7723913,16:40:00,2.399,48.771,1
7723910,16:40:00,2.398,48.771,1
7722497,16:40:00,2.24,48.995,3
7722649,16:40:00,1.992,48.867,2
7781801,16:40:00,2.651,48.604,24
7781795,16:40:00,2.343,48.758,1
7745646,16:40:00,2.398,48.771,1
7744423,16:40:00,2.219,48.896,8
7723917,16:40:00,2.399,48.771,1
7722652,16:40:00,2.306,48.94,25
7722526,16:40:00,2.649,48.604,24
7781792,16:40:00,2.374,48.991,5
7781800,16:40:00,2.32,48.765,1
7781803,16:40:00,2.236,48.969,3
7722689,16:40:00,2.327,48.816,11
7723867,16:40:00,2.651,48.605,24
7744223,16:40:00,2.072,48.871,28
7781817,16:40:00,2.487,48.944,18
7745648,16:40:00,2.398,48.771,1
7745688,16:40:00,2.222,48.789,22
7744506,16:40:00,2.957,48.371,23
7745668,16:40:00,2.399,48.772,1
7745664,16:40:00,2.399,48.772,1
7722722,16:40:00,1.969,48.796,2
7744150,16:40:00,2.494,49.009,18
7722801,16:40:00,2.068,48.754,26
7722792,16:40:00,2.463,48.906,27
7743062,16:40:00,2.484,48.75,17
7743487,16:40:00,2.694,48.537,24
7743496,16:40:00,2.694,48.537,24
7745695,16:40:00,2.555,48.636,4
7724360,16:50:00,2.437,48.944,27
7745666,16:50:00,2.399,48.772,1
7781856,16:50:00,2.773,48.855,0
7723812,16:50:00,2.477,48.741,17
7723809,16:50:00,2.477,48.741,17
7724127,16:50:00,2.455,48.752,17
7724189,16:50:00,2.238,48.889,8
7722780,16:50:00,2.677,48.82,6
7745382,16:50:00,2.632,48.817,6
7781846,16:50:00,2.37,48.901,25
7723760,16:50:00,2.341,48.942,25
7724234,16:50:00,2.239,48.889,8
7723631,16:50:00,2.219,48.897,8
7745706,16:50:00,2.639,48.836,6
7745702,16:50:00,2.639,48.836,6
7743812,16:50:00,2.123,48.764,14
7745656,16:50:00,2.399,48.772,1
7743050,16:50:00,2.623,48.982,13
7743083,16:50:00,2.25,48.786,22
7722553,16:50:00,2.061,49.0,15
7724025,16:50:00,2.651,48.605,24
7744139,16:50:00,2.454,48.874,27
7724372,16:50:00,2.576,48.867,6
7722607,16:50:00,2.651,48.605,24
7723817,16:50:00,2.65,48.605,24
7723609,16:50:00,2.305,48.8,22
7723813,16:50:00,2.65,48.605,24
7723611,16:50:00,2.24,48.827,22
7745707,16:50:00,2.639,48.836,6
7723846,16:50:00,2.48,48.741,17
7723807,16:50:00,2.448,48.762,17
7723805,16:50:00,2.448,48.762,17
7723979,16:50:00,2.8,48.854,0
7743061,16:50:00,2.454,48.874,27
7745679,16:50:00,1.878,48.851,2
7781843,16:50:00,2.176,48.89,8
7781850,16:50:00,2.702,49.06,13
7781830,16:50:00,2.877,48.958,16
7781833,16:50:00,2.134,48.762,14
7781838,16:50:00,2.19,48.858,8
7781839,16:50:00,2.265,48.932,8
7745709,16:50:00,2.061,49.0,15
7723960,16:50:00,2.249,48.945,3
7723926,16:50:00,2.556,48.746,6
7781858,16:50:00,2.051,48.787,26
7724232,16:50:00,2.239,48.889,8
7724238,16:50:00,2.239,48.889,8
7722677,16:50:00,2.651,48.605,24
7724245,16:50:00,2.238,48.889,8
7722545,16:50:00,2.761,48.868,0
7724190,16:50:00,2.238,48.889,8
7722821,16:50:00,2.393,48.957,5
7722820,16:50:00,2.393,48.957,5
7722822,16:50:00,2.393,48.957,5
7723849,16:50:00,2.48,48.741,17
7745727,16:50:00,2.341,48.942,25
7745721,16:50:00,2.255,48.788,22
7743077,16:50:00,2.446,48.797,17
7781873,16:50:00,2.099,48.784,26
7781883,16:50:00,2.352,48.74,1
7781887,16:50:00,2.352,48.74,1
7781881,16:50:00,2.044,48.79,26
7781879,16:50:00,2.078,48.766,26
7781885,16:50:00,2.352,48.74,1
7781860,16:50:00,2.176,48.89,8
7724566,16:50:00,2.047,48.791,26
7744165,16:50:00,2.706,48.826,0
7722765,16:50:00,2.504,48.974,18
7781871,16:50:00,2.238,48.945,8
7781840,16:50:00,2.05,48.902,28
7745390,16:50:00,2.632,48.817,6
7726192,17:00:00,2.184,48.859,8
7726216,17:00:00,2.377,48.934,5
7726207,17:00:00,2.377,48.934,5
7745748,17:00:00,2.785,48.871,0
7743074,17:00:00,2.402,48.878,27
7743511,17:00:00,2.062,48.955,28
7727215,17:00:00,2.503,48.863,27
7722813,17:00:00,2.062,48.941,28
7745728,17:00:00,2.81,49.041,16
7781905,17:00:00,2.914,48.956,16
7724018,17:00:00,2.292,48.856,25
7724010,17:00:00,2.292,48.856,25
7781914,17:00:00,2.646,48.98,13
7781967,17:00:00,1.645,49.001,12
7781978,17:00:00,2.239,48.777,22
7782219,17:00:00,2.36,48.937,25
7782198,17:00:00,1.697,48.982,12
7781965,17:00:00,1.976,48.794,2
7782034,17:00:00,2.51,48.972,18
7782023,17:00:00,2.416,48.849,27
7782122,17:00:00,2.646,48.98,13
7782202,17:00:00,2.401,48.879,27
7782191,17:00:00,2.495,48.824,17
7782185,17:00:00,2.059,48.788,26
7782166,17:00:00,2.514,48.973,18
7782070,17:00:00,2.364,48.778,1
7743080,17:00:00,2.55,48.84,6
7782054,17:00:00,1.694,48.994,12
7782049,17:00:00,2.62,48.845,6
7782111,17:00:00,2.108,49.066,15
7723671,17:00:00,2.195,48.862,8
7782178,17:00:00,2.286,48.88,25
7724567,17:00:00,2.047,48.791,26
7745735,17:00:00,2.717,48.831,0
7723959,17:00:00,2.249,48.945,3
7724569,17:00:00,2.047,48.791,26
7781886,17:00:00,2.914,48.956,16
7743598,17:00:00,2.087,48.763,26
7723646,17:00:00,2.321,48.905,25
7781882,17:00:00,2.229,48.777,22
7727214,17:00:00,2.503,48.863,27
7743713,17:00:00,2.327,48.935,25
7722598,17:00:00,1.968,48.795,2
7724170,17:00:00,1.945,48.799,2
7722705,17:00:00,2.491,48.77,17
7723716,17:00:00,2.491,48.77,17
7723229,17:00:00,2.062,48.941,28
7745714,17:00:00,2.091,48.785,26
7745718,17:00:00,2.309,48.875,25
7745720,17:00:00,2.81,49.041,16
7722778,17:00:00,2.656,48.614,24
7745712,17:00:00,2.464,48.906,27
7723730,17:00:00,2.395,49.01,5
7743384,17:00:00,2.495,48.859,27
7745716,17:00:00,2.81,49.041,16
7781893,17:00:00,2.037,48.794,26
7781896,17:00:00,2.443,48.789,17
7745717,17:00:00,2.464,48.906,27
7745715,17:00:00,2.464,48.906,27
7745730,17:00:00,2.248,48.948,3
7745733,17:00:00,2.301,48.858,25
7745697,17:00:00,2.579,48.842,6
7744462,17:00:00,2.505,48.974,18
